"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
"Dexi1",0.547239517836024,0.724646141544176,0.088,0.061,1,"Dexi","9"
"Hgs1",0.547240030040984,0.58914482440989,0.118,0.085,1,"Hgs","9"
"Crkl2",0.548058767653697,0.505180681802935,0.147,0.109,1,"Crkl","9"
"5830444B04Rik4",0.548121580693486,1.49969307750699,0.029,0.016,1,"5830444B04Rik","9"
"Ttc382",0.548170352588437,1.06045460780337,0.059,0.039,1,"Ttc38","9"
"A730017L22Rik3",0.549091748887321,1.0981109116604,0,0.01,1,"A730017L22Rik","9"
"Gm426703",0.549091748887321,1.1602858955265,0,0.01,1,"Gm42670","9"
"Dnal43",0.549091748887321,1.20142689022573,0,0.01,1,"Dnal4","9"
"Car151",0.549091748887321,1.15540045794054,0,0.01,1,"Car15","9"
"Gm82511",0.549091749235842,1.06159737561029,0,0.01,1,"Gm8251","9"
"Pard3b4",0.549091749235842,1.02410993168909,0,0.01,1,"Pard3b","9"
"A530040E14Rik4",0.549091749235842,1.16482637521768,0,0.01,1,"A530040E14Rik","9"
"Ift222",0.549091749235842,1.23035940611762,0,0.01,1,"Ift22","9"
"Klf14",0.549091749235842,1.19675141071735,0,0.01,1,"Klf1","9"
"Trav4-4-dv104",0.549091749235842,0.904575414739563,0,0.01,1,"Trav4-4-dv10","9"
"Adcy95",0.549091749235842,1.03865896029741,0,0.01,1,"Adcy9","9"
"Nlrc43",0.549091749235842,1.09119339191815,0,0.01,1,"Nlrc4","9"
"Nanos12",0.549091749235842,1.18203352115734,0,0.01,1,"Nanos1","9"
"Rnf1286",0.549091749235842,1.07895719910241,0,0.01,1,"Rnf128","9"
"Tyk22",0.549224281829879,0.507864399615567,0.147,0.111,1,"Tyk2","9"
"Foxo41",0.549723770885168,1.30073407539982,0.059,0.04,1,"Foxo4","9"
"Lyrm93",0.549855555072412,1.06545232780634,0.059,0.039,1,"Lyrm9","9"
"Tia11",0.549978013963765,0.557864867665849,0.176,0.147,1,"Tia1","9"
"Tmem223",0.550023950986883,0.59049320594978,0.176,0.141,1,"Tmem223","9"
"Cactin1",0.550134621129999,0.804197986706267,0.088,0.064,1,"Cactin","9"
"Aasdhppt1",0.550232209427777,0.806053273779693,0.088,0.064,1,"Aasdhppt","9"
"Cpne31",0.550359925286121,0.537276844908759,0.147,0.113,1,"Cpne3","9"
"Tab13",0.550399310956258,1.01057020108823,0.059,0.039,1,"Tab1","9"
"Zhx11",0.550446951170634,0.707855524713704,0.088,0.062,1,"Zhx1","9"
"Snx121",0.550510529417959,0.585377104696156,0.147,0.114,1,"Snx12","9"
"Lonp11",0.55084817589712,0.801155635085294,0.088,0.063,1,"Lonp1","9"
"Nhej12",0.55121331968268,1.69657864364102,0.029,0.017,1,"Nhej1","9"
"Uqcc11",0.551279881806157,0.538854939703302,0.118,0.085,1,"Uqcc1","9"
"Dyrk1b3",0.551900879380962,1.52850089592882,0.029,0.016,1,"Dyrk1b","9"
"Pcyt1a5",0.55200994455635,0.953675748043818,0.059,0.039,1,"Pcyt1a","9"
